H	Env	GY_BLUE	GM_BLUE	NE_BLUE
H_1	2006_CAMPO_MOURAO	6.03571554226637	35.7870705317374	43.1322426977607
H_2	2006_CAMPO_MOURAO	5.33167286396273	35.3576750200446	42.6562868246206
H_3	2006_CAMPO_MOURAO	5.60261953820291	32.7425858936524	40.2524633320792
H_4	2006_CAMPO_MOURAO	4.64321127089336	28.9729888858569	41.9879779365677
H_5	2006_CAMPO_MOURAO	6.74230745020702	28.9330121291747	42.9759558731353
H_6	2006_CAMPO_MOURAO	5.16021945783426	30.7380780122491	41.7956249216502
H_7	2006_CAMPO_MOURAO	4.64510978821802	29.4439266364145	40.6683088880528
H_8	2006_CAMPO_MOURAO	4.03716173148913	31.8238078012249	39.3557352388119
H_9	2006_CAMPO_MOURAO	5.46928415857645	34.024590542316	38.5120220634325
H_10	2006_CAMPO_MOURAO	5.99082887963653	34.698623082961	41.3437131753796
H_11	2006_CAMPO_MOURAO	5.88121758502281	34.6817075606896	43.4879779365677
H_12	2006_CAMPO_MOURAO	5.92098386862697	30.3024205718271	35.1081985708912
H_13	2006_CAMPO_MOURAO	6.60093054286715	31.4373314454349	42.2043750783498
H_14	2006_CAMPO_MOURAO	6.06511845487126	34.8777576809572	40.427867619406
H_15	2006_CAMPO_MOURAO	5.66306283854114	34.313784557907	40.4879779365677
H_16	2006_CAMPO_MOURAO	6.27614999009101	33.6516016564591	40.2715807947855
H_17	2006_CAMPO_MOURAO	5.75010713653718	31.9910565857472	42.3437131753796
H_18	2006_CAMPO_MOURAO	6.13903677662795	27.6415422388643	40.2475366679208
H_19	2006_CAMPO_MOURAO	6.35492710701171	29.1473908630297	40.6202206343234
H_20	2006_CAMPO_MOURAO	6.44897905028282	37.2272720278401	39.8076469850825
H_21	2006_CAMPO_MOURAO	5.36273083281663	35.0595014159238	39.1081985708911
H_22	2006_CAMPO_MOURAO	6.33802858968705	30.4264531124721	41.4398896828383
H_23	2006_CAMPO_MOURAO	6.26161297625949	36.95215965813	38.9158455559737
H_24	2006_CAMPO_MOURAO	6.11255965049967	36.1870705317379	37.5120220634324
H_25	2006_CAMPO_MOURAO	5.60874756250378	30.9274967672602	39.2355146044885
H_26	2006_CAMPO_MOURAO	5.50419194617367	30.71352364421	39.2956249216502
H_27	2006_CAMPO_MOURAO	5.96627909772354	30.9513407427621	40.079227779868
H_28	2006_CAMPO_MOURAO	6.7677362441697	34.6407956720501	41.1513601604621
H_29	2006_CAMPO_MOURAO	5.85666588426047	39.0912813251673	38.5551836530034
H_30	2006_CAMPO_MOURAO	5.46505621464424	37.7471299493327	37.427867619406
H_31	2006_CAMPO_MOURAO	5.24360815791534	34.0770111141431	39.1152939701651
H_32	2006_CAMPO_MOURAO	6.16341874482074	34.1999276514461	39.3316911119472
H_33	2006_CAMPO_MOURAO	6.22915769731957	36.2761921987751	39.7475366679208
H_34	2006_CAMPO_MOURAO	5.46363416318024	31.7328235640316	38.20437507835
H_35	2006_CAMPO_MOURAO	6.44008083742042	29.9677344376394	41.3005515858086
H_36	2006_CAMPO_MOURAO	4.65176874942453	30.6081606731617	39.5240441268647
H_37	2006_CAMPO_MOURAO	5.71721313309441	28.9941875501115	38.5841544440264
H_38	2006_CAMPO_MOURAO	6.38930028464428	33.4320046486636	37.8677573022443
H_39	2006_CAMPO_MOURAO	5.76525743109045	37.7714595779516	40.9398896828383
H_40	2006_CAMPO_MOURAO	5.98168707118122	33.1219452310688	41.8437131753796
H_41	2006_CAMPO_MOURAO	6.14807740156498	34.0277938552342	39.7163971417822
H_42	2006_CAMPO_MOURAO	6.53062934483609	34.1576750200446	39.4038234925413
H_43	2006_CAMPO_MOURAO	5.84836312849063	31.8359545283959	33.3918014291089
H_44	2006_CAMPO_MOURAO	5.49033189242792	31.7166546085743	34.776507458944
H_45	2006_CAMPO_MOURAO	5.2587785666681	33.7515654821822	35.3726839664026
H_46	2006_CAMPO_MOURAO	5.00496647867221	30.0919917177045	38.0961765074588
H_47	2006_CAMPO_MOURAO	5.1109108623421	33.3280185946543	41.1562868246205
H_48	2006_CAMPO_MOURAO	3.88999801389197	31.3158356932063	39.9398896828383
H_49	2006_CAMPO_MOURAO	3.89095516033813	27.0552906224944	39.5120220634324
H_50	2006_CAMPO_MOURAO	5.56338480042891	27.6057762756115	41.4158455559736
H_51	2006_CAMPO_MOURAO	4.68027513081267	30.411624899777	37.7885295223763
H_52	2006_CAMPO_MOURAO	5.46732707408377	30.6915060645874	39.4759558731353
H_53	2006_CAMPO_MOURAO	5.47695028004049	29.723771626948	43.1754042873268
H_54	2006_CAMPO_MOURAO	5.113376613488	30.3906871492193	38.1081985708911
H_55	2006_CAMPO_MOURAO	4.47646605560816	29.5561095378624	36.8486398395381
H_56	2006_CAMPO_MOURAO	5.62991272984834	34.4410204114702	42.9448163469967
H_57	2006_CAMPO_MOURAO	6.47410064185245	30.7814466469926	39.6683088880528
H_58	2006_CAMPO_MOURAO	5.46004502552234	27.8674735239424	34.7284192052145
H_59	2006_CAMPO_MOURAO	5.09513217707221	26.5552906224944	37.5120220634324
H_60	2006_CAMPO_MOURAO	5.91208932351838	30.2447455517825	37.5841544440264
H_61	2006_CAMPO_MOURAO	4.99251896360915	28.2952312048996	40.9879779365677
H_62	2006_CAMPO_MOURAO	5.24790929399291	24.051079829065	36.8606619029703
H_63	2006_CAMPO_MOURAO	5.26646123726402	30.3809609938755	41.5480882537294
H_64	2006_CAMPO_MOURAO	5.51340742648666	33.663226556236	38.7475366679208
H_65	2006_CAMPO_MOURAO	5.00601077666825	31.5301420785074	36.6803309514852
H_66	2006_CAMPO_MOURAO	4.96814626038371	26.8291345979962	39.812573649241
H_67	2006_CAMPO_MOURAO	4.68609293462389	32.6140454716041	41.4087501566997
H_68	2006_CAMPO_MOURAO	5.862280846628	29.5544717071264	39.1322426977558
H_69	2006_CAMPO_MOURAO	4.37972523029788	28.0404985840762	40.1923530149175
H_70	2006_CAMPO_MOURAO	2.52981238184775	32.6783156826282	35.4759558731353
H_71	2006_CAMPO_MOURAO	4.48376952829392	30.9177706119163	34.0480882537294
